"NOMBRES M�S POPULARES DE MUJER, 2020",,,,,,"NOMBRES M�S POPULARES DE HOMBRE, 2020",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
1,SOFIA,MUJER,"6,200",,,1,SANTIAGO,HOMBRE,"8,794"
2,MARIA JOSE,MUJER,"4,984",,,2,MATEO,HOMBRE,"7,105"
3,REGINA,MUJER,"4,966",,,3,SEBASTIAN,HOMBRE,"5,850"
4,VALENTINA,MUJER,"4,905",,,4,LEONARDO,HOMBRE,"5,230"
5,CAMILA,MUJER,"4,688",,,5,EMILIANO,HOMBRE,"4,320"
6,XIMENA,MUJER,"3,783",,,6,MATIAS,HOMBRE,"4,252"
7,VICTORIA,MUJER,"3,654",,,7,DIEGO,HOMBRE,"3,881"
8,RENATA,MUJER,"3,417",,,8,DANIEL,HOMBRE,"3,747"
9,MARIA FERNANDA,MUJER,"3,390",,,9,MIGUEL ANGEL,HOMBRE,"3,571"
10,VALERIA,MUJER,"3,272",,,10,ALEXANDER,HOMBRE,"3,380"
11,NATALIA,MUJER,"3,135",,,11,ALEJANDRO,HOMBRE,"3,339"
12,ISABELLA,MUJER,"2,997",,,12,GAEL,HOMBRE,"3,043"
13,ROMINA,MUJER,"2,934",,,13,JESUS,HOMBRE,"3,021"
14,DANIELA,MUJER,"2,881",,,14,ANGEL,HOMBRE,"2,637"
15,ALEXA,MUJER,"2,490",,,15,DAVID,HOMBRE,"2,551"
16,ANA SOFIA,MUJER,"2,406",,,16,EMMANUEL,HOMBRE,"2,446"
17,ANDREA,MUJER,"2,194",,,17,LUIS ANGEL,HOMBRE,"2,417"
18,MARIA GUADALUPE,MUJER,"2,111",,,18,RODRIGO,HOMBRE,"2,371"
19,MELISSA,MUJER,"2,093",,,19,FERNANDO,HOMBRE,"2,359"
20,FERNANDA,MUJER,"2,075",,,20,MAXIMILIANO,HOMBRE,"2,282"
21,SAMANTHA,MUJER,"1,927",,,21,DYLAN,HOMBRE,"2,258"
22,AITANA,MUJER,"1,910",,,22,JOSE ANGEL,HOMBRE,"2,242"
23,ELIZABETH,MUJER,"1,790",,,23,TADEO,HOMBRE,"2,151"
24,YAMILETH,MUJER,"1,742",,,24,JOSE LUIS,HOMBRE,"2,139"
25,GUADALUPE,MUJER,"1,720",,,25,GABRIEL,HOMBRE,"2,016"
26,MARIANA,MUJER,"1,582",,,26,EDUARDO,HOMBRE,"2,012"
27,ANA VICTORIA,MUJER,"1,546",,,27,JUAN PABLO,HOMBRE,"1,972"
28,ANA PAULA,MUJER,"1,517",,,28,RAFAEL,HOMBRE,"1,911"
29,FATIMA,MUJER,"1,511",,,29,ISAAC,HOMBRE,"1,845"
30,ABIGAIL,MUJER,"1,480",,,30,SAMUEL,HOMBRE,"1,831"
31,EMILY,MUJER,"1,459",,,31,AXEL,HOMBRE,"1,828"
32,JULIETA,MUJER,"1,416",,,32,JUAN CARLOS,HOMBRE,"1,797"
33,ALEJANDRA,MUJER,"1,338",,,33,NICOLAS,HOMBRE,"1,793"
34,ESMERALDA,MUJER,"1,311",,,34,EMILIO,HOMBRE,"1,792"
35,VANESSA,MUJER,"1,289",,,35,JOSE MANUEL,HOMBRE,"1,683"
36,ESTEFANIA,MUJER,"1,274",,,36,DAMIAN,HOMBRE,"1,658"
37,EVELYN,MUJER,"1,273",,,37,LEONEL,HOMBRE,"1,640"
38,LUCIANA,MUJER,"1,252",,,38,ELIAS,HOMBRE,"1,624"
39,JIMENA,MUJER,"1,111",,,39,RICARDO,HOMBRE,"1,622"
40,MIRANDA,MUJER,"1,058",,,40,ALEXIS,HOMBRE,"1,618"
41,LUCIA,MUJER,"1,056",,,41,ADRIAN,HOMBRE,"1,521"
42,IVANNA,MUJER,"1,037",,,42,MAURICIO,HOMBRE,"1,497"
43,KIMBERLY,MUJER,"1,024",,,43,ANTONIO,HOMBRE,"1,481"
44,ITZAYANA,MUJER,"1,022",,,44,ALAN,HOMBRE,"1,480"
45,SOFIA GUADALUPE,MUJER,"1,020",,,45,JONATHAN,HOMBRE,"1,477"
46,CAROLINA,MUJER,"1,014",,,46,FRANCISCO,HOMBRE,"1,450"
47,DANNA SOFIA,MUJER,"1,006",,,47,CARLOS,HOMBRE,"1,432"
48,ALONDRA,MUJER,961,,,48,ANGEL GABRIEL,HOMBRE,"1,421"
49,ARANZA,MUJER,937,,,49,CRISTIAN,HOMBRE,"1,404"
50,EMMA,MUJER,931,,,50,JAVIER,HOMBRE,"1,402"
51,MARIA,MUJER,930,,,51,JOSUE,HOMBRE,"1,381"
52,PAULINA,MUJER,888,,,52,JOSE ANTONIO,HOMBRE,"1,328"
53,GENESIS,MUJER,881,,,53,JOSE MIGUEL,HOMBRE,"1,320"
54,AYLIN,MUJER,878,,,54,JULIAN,HOMBRE,"1,301"
55,ANA LUCIA,MUJER,863,,,55,AARON,HOMBRE,"1,288"
56,MONSERRAT,MUJER,856,,,56,LUIS FERNANDO,HOMBRE,"1,284"
57,ANGELA,MUJER,852,,,57,IKER,HOMBRE,"1,275"
58,ABRIL,MUJER,851,,,58,MIGUEL,HOMBRE,"1,249"
59,MIA,MUJER,837,,,59,ANDRES,HOMBRE,"1,245"
60,DULCE MARIA,MUJER,829,,,60,LIAM,HOMBRE,"1,226"
61,LIA,MUJER,827,,,61,URIEL,HOMBRE,"1,225"
62,ELISA,MUJER,816,,,62,MANUEL,HOMBRE,"1,203"
63,EMILIA,MUJER,814,,,63,JUAN DIEGO,HOMBRE,"1,178"
64,MELANY,MUJER,788,,,64,ISMAEL,HOMBRE,"1,161"
65,DAYANA,MUJER,777,,,65,JUAN,HOMBRE,"1,154"
66,NICOLE,MUJER,770,,,66,JOSE MARIA,HOMBRE,"1,117"
67,ARIANA,MUJER,757,,,67,IVAN,HOMBRE,"1,101"
68,SAMARA,MUJER,737,,,68,ABRAHAM,HOMBRE,"1,099"
69,GABRIELA,MUJER,735,,,69,PEDRO,HOMBRE,"1,099"
70,ZOE,MUJER,731,,,70,JUAN JOSE,HOMBRE,"1,059"
71,ALLISON,MUJER,729,,,71,PABLO,HOMBRE,"1,059"
72,ELENA,MUJER,728,,,72,ERICK,HOMBRE,"1,047"
73,REBECA,MUJER,723,,,73,IAN,HOMBRE,"1,047"
74,SARA,MUJER,720,,,74,OLIVER,HOMBRE,"1,034"
75,FRIDA SOFIA,MUJER,714,,,75,ROBERTO,HOMBRE,"1,034"
76,ALISSON,MUJER,709,,,76,CARLOS DANIEL,HOMBRE,"1,011"
77,DIANA,MUJER,705,,,77,GERARDO,HOMBRE,"1,011"
78,PAOLA,MUJER,697,,,78,ALONSO,HOMBRE,"1,002"
79,MICHELLE,MUJER,687,,,79,BRAYAN,HOMBRE,969
80,MIA ISABELLA,MUJER,681,,,80,JORGE,HOMBRE,961
81,ADRIANA,MUJER,666,,,81,ANGEL MATEO,HOMBRE,955
82,MARIA VICTORIA,MUJER,660,,,82,SAUL,HOMBRE,949
83,MARISOL,MUJER,655,,,83,ISRAEL,HOMBRE,948
84,ALEXANDRA,MUJER,638,,,84,MARCO ANTONIO,HOMBRE,941
85,ESTRELLA,MUJER,631,,,85,JOSE,HOMBRE,940
86,EMMA SOFIA,MUJER,628,,,86,BRUNO,HOMBRE,936
87,KARLA,MUJER,628,,,87,ARTURO,HOMBRE,916
88,NAOMI,MUJER,624,,,88,JUAN MANUEL,HOMBRE,901
89,LILIANA,MUJER,613,,,89,OMAR,HOMBRE,894
90,ALISON,MUJER,601,,,90,IAN MATEO,HOMBRE,882
91,CATALINA,MUJER,600,,,91,KEVIN,HOMBRE,881
92,AURORA,MUJER,599,,,92,GUSTAVO,HOMBRE,877
93,ITZEL,MUJER,598,,,93,OSCAR,HOMBRE,876
94,LUZ MARIA,MUJER,598,,,94,ANGEL DANIEL,HOMBRE,868
95,LIZBETH,MUJER,597,,,95,HECTOR,HOMBRE,867
96,JAZMIN,MUJER,591,,,96,ANGEL GAEL,HOMBRE,860
97,ISABEL,MUJER,589,,,97,JESUS ANTONIO,HOMBRE,851
98,MIA VALENTINA,MUJER,586,,,98,ELIAN,HOMBRE,827
99,LUCERO,MUJER,581,,,99,MARTIN,HOMBRE,806
100,YARETZI,MUJER,575,,,100,ALFREDO,HOMBRE,801
101,JENNIFER,MUJER,546,,,101,DANTE,HOMBRE,801
102,MONTSERRAT,MUJER,536,,,102,ESTEBAN,HOMBRE,798
103,ALEXA GUADALUPE,MUJER,534,,,103,FRANCISCO JAVIER,HOMBRE,778
104,PAULA,MUJER,531,,,104,SALVADOR,HOMBRE,778
105,KATHERINE,MUJER,528,,,105,SERGIO,HOMBRE,765
106,ARLETH,MUJER,525,,,106,BRANDON,HOMBRE,762
107,MELANIE,MUJER,524,,,107,RAUL,HOMBRE,758
108,MIA GUADALUPE,MUJER,521,,,108,ANGEL TADEO,HOMBRE,744
109,SOFIA VALENTINA,MUJER,517,,,109,ANGEL DAVID,HOMBRE,740
110,MAYTE,MUJER,515,,,110,EZEQUIEL,HOMBRE,740
111,YOSELIN,MUJER,514,,,111,THIAGO,HOMBRE,738
112,ANA MARIA,MUJER,511,,,112,JESUS TADEO,HOMBRE,737
113,KAILANI,MUJER,503,,,113,ENRIQUE,HOMBRE,735
114,HANNA,MUJER,502,,,114,LUIS ANTONIO,HOMBRE,734
115,ANTONELLA,MUJER,500,,,115,JOSE EDUARDO,HOMBRE,732
116,YARELI,MUJER,493,,,116,MOISES,HOMBRE,732
117,VICTORIA GUADALUPE,MUJER,484,,,117,JESUS ALEJANDRO,HOMBRE,730
118,KENIA,MUJER,483,,,118,JULIO CESAR,HOMBRE,723
119,MARIA ISABEL,MUJER,482,,,119,ALBERTO,HOMBRE,709
120,SARAHI,MUJER,472,,,120,EMANUEL,HOMBRE,698
121,EMILY SOFIA,MUJER,469,,,121,CESAR,HOMBRE,690
122,XIMENA GUADALUPE,MUJER,469,,,122,VICTOR MANUEL,HOMBRE,690
123,GRECIA,MUJER,460,,,123,MARIO,HOMBRE,683
124,FRIDA,MUJER,452,,,124,JESUS DANIEL,HOMBRE,681
125,YAMILET,MUJER,450,,,125,BENJAMIN,HOMBRE,674
126,CAMILA GUADALUPE,MUJER,443,,,126,JOSE CARLOS,HOMBRE,670
127,MARIA DEL CARMEN,MUJER,441,,,127,IAN ALEXANDER,HOMBRE,661
128,DANNA PAOLA,MUJER,435,,,128,JOSE DANIEL,HOMBRE,660
129,ALICIA,MUJER,431,,,129,ANGEL SANTIAGO,HOMBRE,656
130,BARBARA,MUJER,424,,,130,ARMANDO,HOMBRE,653
131,NAHOMI,MUJER,423,,,131,LUIS,HOMBRE,653
132,LIA VICTORIA,MUJER,421,,,132,JOSHUA,HOMBRE,642
133,MARGARITA,MUJER,420,,,133,FABIAN,HOMBRE,641
134,ANA PAOLA,MUJER,419,,,134,IAN GAEL,HOMBRE,635
135,JADE,MUJER,416,,,135,CRISTOPHER,HOMBRE,634
136,MONSERRATH,MUJER,416,,,136,JESUS ADRIAN,HOMBRE,630
